Date,Year,Month_Num,Month_Name,Quarter,Quarter_Label,Week_Num,Day_Name,Day_Num,Is_Weekend,Is_Month_Start,Is_Month_End
2016-09-01,2016,9,September,3,Q3 2016,35,Thursday,1,0,1,0
2016-09-02,2016,9,September,3,Q3 2016,35,Friday,2,0,0,0
2016-09-03,2016,9,September,3,Q3 2016,35,Saturday,3,1,0,0
2016-09-04,2016,9,September,3,Q3 2016,35,Sunday,4,1,0,0
2016-09-05,2016,9,September,3,Q3 2016,36,Monday,5,0,0,0
2016-09-06,2016,9,September,3,Q3 2016,36,Tuesday,6,0,0,0
2016-09-07,2016,9,September,3,Q3 2016,36,Wednesday,7,0,0,0
2016-09-08,2016,9,September,3,Q3 2016,36,Thursday,8,0,0,0
2016-09-09,2016,9,September,3,Q3 2016,36,Friday,9,0,0,0
2016-09-10,2016,9,September,3,Q3 2016,36,Saturday,10,1,0,0
2016-09-11,2016,9,September,3,Q3 2016,36,Sunday,11,1,0,0
2016-09-12,2016,9,September,3,Q3 2016,37,Monday,12,0,0,0
2016-09-13,2016,9,September,3,Q3 2016,37,Tuesday,13,0,0,0
2016-09-14,2016,9,September,3,Q3 2016,37,Wednesday,14,0,0,0
2016-09-15,2016,9,September,3,Q3 2016,37,Thursday,15,0,0,0
2016-09-16,2016,9,September,3,Q3 2016,37,Friday,16,0,0,0
2016-09-17,2016,9,September,3,Q3 2016,37,Saturday,17,1,0,0
2016-09-18,2016,9,September,3,Q3 2016,37,Sunday,18,1,0,0
2016-09-19,2016,9,September,3,Q3 2016,38,Monday,19,0,0,0
2016-09-20,2016,9,September,3,Q3 2016,38,Tuesday,20,0,0,0
2016-09-21,2016,9,September,3,Q3 2016,38,Wednesday,21,0,0,0
2016-09-22,2016,9,September,3,Q3 2016,38,Thursday,22,0,0,0
2016-09-23,2016,9,September,3,Q3 2016,38,Friday,23,0,0,0
2016-09-24,2016,9,September,3,Q3 2016,38,Saturday,24,1,0,0
2016-09-25,2016,9,September,3,Q3 2016,38,Sunday,25,1,0,0
2016-09-26,2016,9,September,3,Q3 2016,39,Monday,26,0,0,0
2016-09-27,2016,9,September,3,Q3 2016,39,Tuesday,27,0,0,0
2016-09-28,2016,9,September,3,Q3 2016,39,Wednesday,28,0,0,0
2016-09-29,2016,9,September,3,Q3 2016,39,Thursday,29,0,0,0
2016-09-30,2016,9,September,3,Q3 2016,39,Friday,30,0,0,1
2016-10-01,2016,10,October,4,Q4 2016,39,Saturday,1,1,1,0
2016-10-02,2016,10,October,4,Q4 2016,39,Sunday,2,1,0,0
2016-10-03,2016,10,October,4,Q4 2016,40,Monday,3,0,0,0
2016-10-04,2016,10,October,4,Q4 2016,40,Tuesday,4,0,0,0
2016-10-05,2016,10,October,4,Q4 2016,40,Wednesday,5,0,0,0
2016-10-06,2016,10,October,4,Q4 2016,40,Thursday,6,0,0,0
2016-10-07,2016,10,October,4,Q4 2016,40,Friday,7,0,0,0
2016-10-08,2016,10,October,4,Q4 2016,40,Saturday,8,1,0,0
2016-10-09,2016,10,October,4,Q4 2016,40,Sunday,9,1,0,0
2016-10-10,2016,10,October,4,Q4 2016,41,Monday,10,0,0,0
2016-10-11,2016,10,October,4,Q4 2016,41,Tuesday,11,0,0,0
2016-10-12,2016,10,October,4,Q4 2016,41,Wednesday,12,0,0,0
2016-10-13,2016,10,October,4,Q4 2016,41,Thursday,13,0,0,0
2016-10-14,2016,10,October,4,Q4 2016,41,Friday,14,0,0,0
2016-10-15,2016,10,October,4,Q4 2016,41,Saturday,15,1,0,0
2016-10-16,2016,10,October,4,Q4 2016,41,Sunday,16,1,0,0
2016-10-17,2016,10,October,4,Q4 2016,42,Monday,17,0,0,0
2016-10-18,2016,10,October,4,Q4 2016,42,Tuesday,18,0,0,0
2016-10-19,2016,10,October,4,Q4 2016,42,Wednesday,19,0,0,0
2016-10-20,2016,10,October,4,Q4 2016,42,Thursday,20,0,0,0
2016-10-21,2016,10,October,4,Q4 2016,42,Friday,21,0,0,0
2016-10-22,2016,10,October,4,Q4 2016,42,Saturday,22,1,0,0
2016-10-23,2016,10,October,4,Q4 2016,42,Sunday,23,1,0,0
2016-10-24,2016,10,October,4,Q4 2016,43,Monday,24,0,0,0
2016-10-25,2016,10,October,4,Q4 2016,43,Tuesday,25,0,0,0
2016-10-26,2016,10,October,4,Q4 2016,43,Wednesday,26,0,0,0
2016-10-27,2016,10,October,4,Q4 2016,43,Thursday,27,0,0,0
2016-10-28,2016,10,October,4,Q4 2016,43,Friday,28,0,0,0
2016-10-29,2016,10,October,4,Q4 2016,43,Saturday,29,1,0,0
2016-10-30,2016,10,October,4,Q4 2016,43,Sunday,30,1,0,0
2016-10-31,2016,10,October,4,Q4 2016,44,Monday,31,0,0,1
2016-11-01,2016,11,November,4,Q4 2016,44,Tuesday,1,0,1,0
2016-11-02,2016,11,November,4,Q4 2016,44,Wednesday,2,0,0,0
2016-11-03,2016,11,November,4,Q4 2016,44,Thursday,3,0,0,0
2016-11-04,2016,11,November,4,Q4 2016,44,Friday,4,0,0,0
2016-11-05,2016,11,November,4,Q4 2016,44,Saturday,5,1,0,0
2016-11-06,2016,11,November,4,Q4 2016,44,Sunday,6,1,0,0
2016-11-07,2016,11,November,4,Q4 2016,45,Monday,7,0,0,0
2016-11-08,2016,11,November,4,Q4 2016,45,Tuesday,8,0,0,0
2016-11-09,2016,11,November,4,Q4 2016,45,Wednesday,9,0,0,0
2016-11-10,2016,11,November,4,Q4 2016,45,Thursday,10,0,0,0
2016-11-11,2016,11,November,4,Q4 2016,45,Friday,11,0,0,0
2016-11-12,2016,11,November,4,Q4 2016,45,Saturday,12,1,0,0
2016-11-13,2016,11,November,4,Q4 2016,45,Sunday,13,1,0,0
2016-11-14,2016,11,November,4,Q4 2016,46,Monday,14,0,0,0
2016-11-15,2016,11,November,4,Q4 2016,46,Tuesday,15,0,0,0
2016-11-16,2016,11,November,4,Q4 2016,46,Wednesday,16,0,0,0
2016-11-17,2016,11,November,4,Q4 2016,46,Thursday,17,0,0,0
2016-11-18,2016,11,November,4,Q4 2016,46,Friday,18,0,0,0
2016-11-19,2016,11,November,4,Q4 2016,46,Saturday,19,1,0,0
2016-11-20,2016,11,November,4,Q4 2016,46,Sunday,20,1,0,0
2016-11-21,2016,11,November,4,Q4 2016,47,Monday,21,0,0,0
2016-11-22,2016,11,November,4,Q4 2016,47,Tuesday,22,0,0,0
2016-11-23,2016,11,November,4,Q4 2016,47,Wednesday,23,0,0,0
2016-11-24,2016,11,November,4,Q4 2016,47,Thursday,24,0,0,0
2016-11-25,2016,11,November,4,Q4 2016,47,Friday,25,0,0,0
2016-11-26,2016,11,November,4,Q4 2016,47,Saturday,26,1,0,0
2016-11-27,2016,11,November,4,Q4 2016,47,Sunday,27,1,0,0
2016-11-28,2016,11,November,4,Q4 2016,48,Monday,28,0,0,0
2016-11-29,2016,11,November,4,Q4 2016,48,Tuesday,29,0,0,0
2016-11-30,2016,11,November,4,Q4 2016,48,Wednesday,30,0,0,1
2016-12-01,2016,12,December,4,Q4 2016,48,Thursday,1,0,1,0
2016-12-02,2016,12,December,4,Q4 2016,48,Friday,2,0,0,0
2016-12-03,2016,12,December,4,Q4 2016,48,Saturday,3,1,0,0
2016-12-04,2016,12,December,4,Q4 2016,48,Sunday,4,1,0,0
2016-12-05,2016,12,December,4,Q4 2016,49,Monday,5,0,0,0
2016-12-06,2016,12,December,4,Q4 2016,49,Tuesday,6,0,0,0
2016-12-07,2016,12,December,4,Q4 2016,49,Wednesday,7,0,0,0
2016-12-08,2016,12,December,4,Q4 2016,49,Thursday,8,0,0,0
2016-12-09,2016,12,December,4,Q4 2016,49,Friday,9,0,0,0
2016-12-10,2016,12,December,4,Q4 2016,49,Saturday,10,1,0,0
2016-12-11,2016,12,December,4,Q4 2016,49,Sunday,11,1,0,0
2016-12-12,2016,12,December,4,Q4 2016,50,Monday,12,0,0,0
2016-12-13,2016,12,December,4,Q4 2016,50,Tuesday,13,0,0,0
2016-12-14,2016,12,December,4,Q4 2016,50,Wednesday,14,0,0,0
2016-12-15,2016,12,December,4,Q4 2016,50,Thursday,15,0,0,0
2016-12-16,2016,12,December,4,Q4 2016,50,Friday,16,0,0,0
2016-12-17,2016,12,December,4,Q4 2016,50,Saturday,17,1,0,0
2016-12-18,2016,12,December,4,Q4 2016,50,Sunday,18,1,0,0
2016-12-19,2016,12,December,4,Q4 2016,51,Monday,19,0,0,0
2016-12-20,2016,12,December,4,Q4 2016,51,Tuesday,20,0,0,0
2016-12-21,2016,12,December,4,Q4 2016,51,Wednesday,21,0,0,0
2016-12-22,2016,12,December,4,Q4 2016,51,Thursday,22,0,0,0
2016-12-23,2016,12,December,4,Q4 2016,51,Friday,23,0,0,0
2016-12-24,2016,12,December,4,Q4 2016,51,Saturday,24,1,0,0
2016-12-25,2016,12,December,4,Q4 2016,51,Sunday,25,1,0,0
2016-12-26,2016,12,December,4,Q4 2016,52,Monday,26,0,0,0
2016-12-27,2016,12,December,4,Q4 2016,52,Tuesday,27,0,0,0
2016-12-28,2016,12,December,4,Q4 2016,52,Wednesday,28,0,0,0
2016-12-29,2016,12,December,4,Q4 2016,52,Thursday,29,0,0,0
2016-12-30,2016,12,December,4,Q4 2016,52,Friday,30,0,0,0
2016-12-31,2016,12,December,4,Q4 2016,52,Saturday,31,1,0,1
2017-01-01,2017,1,January,1,Q1 2017,52,Sunday,1,1,1,0
2017-01-02,2017,1,January,1,Q1 2017,1,Monday,2,0,0,0
2017-01-03,2017,1,January,1,Q1 2017,1,Tuesday,3,0,0,0
2017-01-04,2017,1,January,1,Q1 2017,1,Wednesday,4,0,0,0
2017-01-05,2017,1,January,1,Q1 2017,1,Thursday,5,0,0,0
2017-01-06,2017,1,January,1,Q1 2017,1,Friday,6,0,0,0
2017-01-07,2017,1,January,1,Q1 2017,1,Saturday,7,1,0,0
2017-01-08,2017,1,January,1,Q1 2017,1,Sunday,8,1,0,0
2017-01-09,2017,1,January,1,Q1 2017,2,Monday,9,0,0,0
2017-01-10,2017,1,January,1,Q1 2017,2,Tuesday,10,0,0,0
2017-01-11,2017,1,January,1,Q1 2017,2,Wednesday,11,0,0,0
2017-01-12,2017,1,January,1,Q1 2017,2,Thursday,12,0,0,0
2017-01-13,2017,1,January,1,Q1 2017,2,Friday,13,0,0,0
2017-01-14,2017,1,January,1,Q1 2017,2,Saturday,14,1,0,0
2017-01-15,2017,1,January,1,Q1 2017,2,Sunday,15,1,0,0
2017-01-16,2017,1,January,1,Q1 2017,3,Monday,16,0,0,0
2017-01-17,2017,1,January,1,Q1 2017,3,Tuesday,17,0,0,0
2017-01-18,2017,1,January,1,Q1 2017,3,Wednesday,18,0,0,0
2017-01-19,2017,1,January,1,Q1 2017,3,Thursday,19,0,0,0
2017-01-20,2017,1,January,1,Q1 2017,3,Friday,20,0,0,0
2017-01-21,2017,1,January,1,Q1 2017,3,Saturday,21,1,0,0
2017-01-22,2017,1,January,1,Q1 2017,3,Sunday,22,1,0,0
2017-01-23,2017,1,January,1,Q1 2017,4,Monday,23,0,0,0
2017-01-24,2017,1,January,1,Q1 2017,4,Tuesday,24,0,0,0
2017-01-25,2017,1,January,1,Q1 2017,4,Wednesday,25,0,0,0
2017-01-26,2017,1,January,1,Q1 2017,4,Thursday,26,0,0,0
2017-01-27,2017,1,January,1,Q1 2017,4,Friday,27,0,0,0
2017-01-28,2017,1,January,1,Q1 2017,4,Saturday,28,1,0,0
2017-01-29,2017,1,January,1,Q1 2017,4,Sunday,29,1,0,0
